,ItemName,Category,Price,Tax,Date,Day,Time
0,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,10-24-2021,Sunday,10:43 AM
1,Sausage McMuffin with Egg,Breakfast,2.99,0.21,10-25-2021,Monday,11:17 AM
2,Chicken Snack Wrap (Grilled) (Ranch),Value Menu,1.69,0.12,11-11-2021,Thursday,3:43 PM
3,Chicken Snack Wrap (Grilled) (Honey Mustard),Value Menu,1.69,0.12,10-28-2021,Thursday,5:12 PM
4,Double Cheeseburger - Meal,Normal,4.19,0.29,11-03-2021,Wednesday,10:43 AM
5,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,11-08-2021,Monday,6:41 AM
6,Medium French Fry,Value Menu,1.59,0.11,11-06-2021,Saturday,2:18 PM
7,Double Filet-O-Fish - Meal,Normal,6.39,0.45,10-30-2021,Saturday,7:03 AM
8,McChicken,Value Menu,1.00,0.07,11-09-2021,Tuesday,9:52 AM
9,Double Quarter Pounder with Cheese,Normal,4.79,0.34,11-11-2021,Thursday,2:29 PM
10,Small French Fry,Value Menu,1.19,0.08,10-22-2021,Friday,5:34 PM
11,Southern Style Chicken - Meal,Normal,5.59,0.39,11-01-2021,Monday,6:19 AM
12,Small French Fry,Value Menu,1.19,0.08,11-05-2021,Friday,7:46 PM
13,Premium Chicken Bacon Clubhouse (Grilled or Crispy),Normal,4.49,0.31,11-11-2021,Thursday,9:26 AM
14,Large French Fry,Value Menu,1.79,0.13,11-05-2021,Friday,1:18 PM
15,Small French Fry,Value Menu,1.19,0.08,11-03-2021,Wednesday,9:29 PM
16,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-28-2021,Thursday,9:03 AM
17,Chicken McNuggets - 10pc,Normal,4.49,0.31,10-30-2021,Saturday,12:16 PM
18,Bacon Habanero Ranch Quarter Pounder,Normal,4.09,0.29,10-25-2021,Monday,10:39 PM
19,Big Mac,Normal,3.99,0.28,11-07-2021,Sunday,4:20 PM
20,Bacon Clubhouse Burger - Meal,Normal,6.19,0.43,10-22-2021,Friday,12:20 PM
21,Big Mac,Normal,3.99,0.28,10-23-2021,Saturday,2:53 PM
22,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-24-2021,Sunday,4:22 PM
23,Classic Chicken (Grilled or Crispy) - Meal,Normal,5.89,0.41,10-29-2021,Friday,8:00 PM
24,Egg White Delight McMuffin - Meal,Breakfast,3.99,0.28,10-22-2021,Friday,4:43 PM
25,Chicken Ranch BLT (Grilled or Crispy) - Meal,Normal,5.99,0.42,10-24-2021,Sunday,3:18 PM
26,2 Cheeseburgers,Normal,2.58,0.18,11-08-2021,Monday,6:59 PM
27,Chicken Ranch BLT (Grilled or Crispy),Normal,4.29,0.3,11-02-2021,Tuesday,3:46 PM
28,Quarter Pounder with Cheese,Normal,3.79,0.27,11-03-2021,Wednesday,1:32 AM
29,Sausage McGriddles - Meal,Breakfast,3.99,0.28,11-05-2021,Friday,8:30 AM
30,"Sausage, Egg & Cheese McGriddles",Breakfast,3.29,0.23,11-03-2021,Wednesday,9:31 AM
31,Sausage McMuffin with Egg,Breakfast,2.99,0.21,10-25-2021,Monday,8:51 AM
32,Steak and Egg Burrito,Value Menu,1.79,0.13,10-23-2021,Saturday,1:34 PM
33,Big Mac - Meal,Normal,5.69,0.4,11-10-2021,Wednesday,12:29 PM
34,Large French Fry,Value Menu,1.79,0.13,11-06-2021,Saturday,11:53 AM
35,Big Mac,Normal,3.99,0.28,10-25-2021,Monday,10:48 PM
36,Double Filet-O-Fish,Normal,4.69,0.33,10-22-2021,Friday,2:32 PM
37,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,11-01-2021,Monday,4:42 PM
38,Steak and Egg Burrito,Value Menu,1.79,0.13,11-03-2021,Wednesday,3:37 PM
39,Double Cheeseburger,Value Menu,1.59,0.11,10-26-2021,Tuesday,5:41 PM
40,Chicken Snack Wrap (Grilled) (Chipolte BBQ),Value Menu,1.69,0.12,10-28-2021,Thursday,4:42 PM
41,Double Quarter Pounder with Cheese,Normal,4.79,0.34,11-01-2021,Monday,4:33 PM
42,Chicken Snack Wrap (Grilled) (Chipolte BBQ),Value Menu,1.69,0.12,10-23-2021,Saturday,3:55 PM
43,Bacon McDouble,Value Menu,2.00,0.14,11-08-2021,Monday,3:30 PM
44,Small French Fry,Value Menu,1.19,0.08,10-22-2021,Friday,3:02 PM
45,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-23-2021,Saturday,11:46 AM
46,Quarter Pounder with Cheese,Normal,3.79,0.27,10-23-2021,Saturday,4:49 PM
47,Bacon Cheddar McChicken,Value Menu,2.00,0.14,11-08-2021,Monday,10:41 AM
48,McDouble,Value Menu,1.19,0.08,10-29-2021,Friday,9:06 AM
49,Southern Style Chicken - Meal,Normal,5.59,0.39,10-30-2021,Saturday,1:46 PM
50,"Sausage, Egg & Cheese McGriddles - Meal",Breakfast,4.49,0.31,10-26-2021,Tuesday,10:46 AM
51,McChicken,Value Menu,1.00,0.07,11-04-2021,Thursday,5:08 AM
52,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-22-2021,Friday,2:14 PM
53,Grilled Onion Cheddar,Value Menu,1.00,0.07,10-28-2021,Thursday,5:13 PM
54,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,11-04-2021,Thursday,10:54 AM
55,Sausage Gravy & Biscuit,Breakfast,2.69,0.19,10-27-2021,Wednesday,8:33 AM
56,Deluxe Quarter Punder,Normal,4.09,0.29,10-30-2021,Saturday,3:24 PM
57,"Bacon, Egg & Cheese McGriddles",Breakfast,3.29,0.23,10-29-2021,Friday,6:32 AM
58,BBQ Ranch Burger,Value Menu,1.00,0.07,11-01-2021,Monday,1:11 PM
