,ItemName,Category,Price,Tax,Date,Day,Time
0,Sausage McMuffin with Egg - Meal,Breakfast,4.19,0.29,10-20-2021,Wednesday,7:29 PM
1,Buffalo Ranch McChicken,Value Menu,1.00,0.07,10-21-2021,Thursday,12:39 PM
2,Bacon Cheddar McChicken,Value Menu,2.00,0.14,10-23-2021,Saturday,10:29 AM
3,Sausage Biscuit,Breakfast,1.00,0.07,10-25-2021,Monday,2:32 PM
4,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,10-22-2021,Friday,8:32 AM
5,Big Mac,Normal,3.99,0.28,10-25-2021,Monday,1:44 PM
6,"Sausage, Egg & Cheese McGriddles",Breakfast,3.29,0.23,10-25-2021,Monday,7:38 AM
7,Sausage McGriddles - Meal,Breakfast,3.99,0.28,10-23-2021,Saturday,6:37 AM
8,Chicken Snack Wrap (Crispy) (Ranch),Value Menu,1.69,0.12,10-25-2021,Monday,9:40 PM
9,Medium French Fry,Value Menu,1.59,0.11,10-21-2021,Thursday,10:42 AM
10,Chicken Snack Wrap (Grilled) (Chipolte BBQ),Value Menu,1.69,0.12,10-25-2021,Monday,7:15 AM
11,2 Sausage Burritos - Meal,Breakfast,3.79,0.27,10-23-2021,Saturday,9:51 AM
12,Chicken Snack Wrap (Crispy) (Honey Mustard),Value Menu,1.69,0.12,10-22-2021,Friday,5:11 PM
13,Sausage Burrito,Breakfast,1.00,0.07,10-22-2021,Friday,2:08 PM
14,Bacon McDouble,Value Menu,2.00,0.14,10-20-2021,Wednesday,9:42 AM
15,Quarter Pounder with Cheese - Meal,Normal,5.49,0.38,10-26-2021,Tuesday,7:57 PM
16,Club Chicken (Grilled or Crispy),Normal,4.49,0.31,10-25-2021,Monday,5:29 PM
17,Deluxe Quarter Punder - Meal,Normal,5.79,0.41,10-24-2021,Sunday,2:32 PM
18,Sausage Gravy & Biscuit,Breakfast,2.69,0.19,10-22-2021,Friday,6:50 AM
19,Bacon & Cheese Quarter Pounder - Meal,Normal,5.79,0.41,10-22-2021,Friday,5:57 PM
20,Medium French Fry,Value Menu,1.59,0.11,10-22-2021,Friday,4:57 PM
21,Big Mac,Normal,3.99,0.28,10-24-2021,Sunday,6:11 AM
22,Classic Chicken (Grilled or Crispy),Normal,4.19,0.29,10-26-2021,Tuesday,5:52 PM
23,Small French Fry,Value Menu,1.19,0.08,10-20-2021,Wednesday,3:14 PM
24,Double Cheeseburger,Value Menu,1.59,0.11,10-25-2021,Monday,7:03 AM
25,Grilled Onion Cheddar,Value Menu,1.00,0.07,10-23-2021,Saturday,7:12 AM
26,Egg McMuffin,Breakfast,2.79,0.2,10-22-2021,Friday,7:56 AM
27,Sausage McGriddles - Meal,Breakfast,3.99,0.28,10-20-2021,Wednesday,1:30 AM
28,Double Cheeseburger - Meal,Normal,4.19,0.29,10-22-2021,Friday,4:30 PM
29,Filet-O-Fish,Normal,3.79,0.27,10-23-2021,Saturday,10:10 PM
30,"Bacon, Egg & Cheese McGriddles",Breakfast,3.29,0.23,10-26-2021,Tuesday,9:25 AM
31,Sausage McGriddles,Breakfast,2.79,0.2,10-21-2021,Thursday,5:40 AM
32,Bacon & Cheese Quarter Pounder,Normal,4.09,0.29,10-20-2021,Wednesday,2:12 PM
33,Large French Fry,Value Menu,1.79,0.13,10-26-2021,Tuesday,10:27 AM
34,Chicken McNuggets - 10pc,Normal,4.49,0.31,10-25-2021,Monday,4:57 PM
35,Double Quarter Pounder with Cheese - Meal,Normal,6.49,0.45,10-26-2021,Tuesday,4:33 PM
36,Chicken McNuggets Meal - 10pc,Normal,6.19,0.43,10-22-2021,Friday,5:10 PM
37,Double Quarter Pounder with Cheese - Meal,Normal,6.49,0.45,10-21-2021,Thursday,9:34 PM
38,Deluxe Quarter Punder,Normal,4.09,0.29,10-25-2021,Monday,7:57 AM
39,Big Mac,Normal,3.99,0.28,10-25-2021,Monday,8:34 AM
40,McChicken,Value Menu,1.00,0.07,10-24-2021,Sunday,1:51 PM
41,Quarter Pounder with Cheese - Meal,Normal,5.49,0.38,10-22-2021,Friday,8:29 PM
42,2 Cheeseburgers - Meal,Normal,4.89,0.34,10-23-2021,Saturday,10:55 AM
43,Big Mac - Meal,Normal,5.69,0.4,10-22-2021,Friday,3:36 PM
44,Premium Chicken Bacon Clubhouse (Grilled or Crispy),Normal,4.49,0.31,10-25-2021,Monday,12:56 PM
45,Large French Fry,Value Menu,1.79,0.13,10-24-2021,Sunday,9:21 AM
46,Medium French Fry,Value Menu,1.59,0.11,10-26-2021,Tuesday,10:28 AM
47,Deluxe Quarter Punder,Normal,4.09,0.29,10-25-2021,Monday,8:51 AM
